elapsed;fitness;solution
0.91s;503;[[15, 16, 13, 7, 17, 9, 14, 8, 12, 11, 10, 23, 18], [19, 6, 1, 24, 25, 29, 27, 28, 26], [20, 3, 4, 5, 2, 22], [21]]
0.47s;503;[[18, 15, 16, 13, 7, 17, 9, 14, 8, 12, 11, 10, 23], [19, 6, 1, 24, 25, 29, 27, 28, 26], [20, 3, 4, 5, 2, 22], [21]]
0.42s;503;[[18, 15, 16, 13, 7, 17, 9, 14, 8, 12, 11, 10, 23], [19, 6, 1, 24, 25, 29, 27, 28, 26], [20, 3, 4, 5, 2, 22], [21]]
0.41s;503;[[15, 16, 13, 7, 17, 9, 14, 8, 12, 11, 10, 23, 18], [19, 6, 1, 24, 25, 29, 27, 28, 26], [20, 3, 4, 5, 2, 22], [21]]
0.39s;503;[[18, 15, 16, 13, 7, 17, 9, 14, 8, 12, 11, 10, 23], [19, 6, 1, 24, 25, 29, 27, 28, 26], [20, 3, 4, 5, 2, 22], [21]]
0.37s;503;[[15, 16, 13, 7, 17, 9, 14, 8, 12, 11, 10, 23, 18], [19, 6, 1, 24, 25, 29, 27, 28, 26], [20, 3, 4, 5, 2, 22], [21]]
0.37s;503;[[18, 15, 16, 13, 7, 17, 9, 14, 8, 12, 11, 10, 23], [19, 6, 1, 24, 25, 29, 27, 28, 26], [20, 3, 4, 5, 2, 22], [21]]
0.37s;503;[[15, 16, 13, 7, 17, 9, 14, 8, 12, 11, 10, 23, 18], [19, 6, 1, 24, 25, 29, 27, 28, 26], [20, 3, 4, 5, 2, 22], [21]]
0.39s;503;[[18, 15, 16, 13, 7, 17, 9, 14, 8, 12, 11, 10, 23], [19, 6, 1, 24, 25, 29, 27, 28, 26], [20, 3, 4, 5, 2, 22], [21]]
0.38s;503;[[15, 16, 13, 7, 17, 9, 14, 8, 12, 11, 10, 23, 18], [19, 6, 1, 24, 25, 29, 27, 28, 26], [20, 3, 4, 5, 2, 22], [21]]
0.37s;503;[[18, 15, 16, 13, 7, 17, 9, 14, 8, 12, 11, 10, 23], [19, 6, 1, 24, 25, 29, 27, 28, 26], [20, 3, 4, 5, 2, 22], [21]]
0.37s;503;[[18, 15, 16, 13, 7, 17, 9, 14, 8, 12, 11, 10, 23], [19, 6, 1, 24, 25, 29, 27, 28, 26], [20, 3, 4, 5, 2, 22], [21]]
0.36s;503;[[18, 15, 16, 13, 7, 17, 9, 14, 8, 12, 11, 10, 23], [19, 6, 1, 24, 25, 29, 27, 28, 26], [20, 3, 4, 5, 2, 22], [21]]
0.37s;503;[[18, 15, 16, 13, 7, 17, 9, 14, 8, 12, 11, 10, 23], [19, 6, 1, 24, 25, 29, 27, 28, 26], [20, 3, 4, 5, 2, 22], [21]]
0.37s;503;[[18, 15, 16, 13, 7, 17, 9, 14, 8, 12, 11, 10, 23], [19, 6, 1, 24, 25, 29, 27, 28, 26], [20, 3, 4, 5, 2, 22], [21]]
0.36s;503;[[15, 16, 13, 7, 17, 9, 14, 8, 12, 11, 10, 23, 18], [19, 6, 1, 24, 25, 29, 27, 28, 26], [20, 3, 4, 5, 2, 22], [21]]
0.36s;503;[[18, 15, 16, 13, 7, 17, 9, 14, 8, 12, 11, 10, 23], [19, 6, 1, 24, 25, 29, 27, 28, 26], [20, 3, 4, 5, 2, 22], [21]]
0.36s;503;[[15, 16, 13, 7, 17, 9, 14, 8, 12, 11, 10, 23, 18], [19, 6, 1, 24, 25, 29, 27, 28, 26], [20, 3, 4, 5, 2, 22], [21]]
0.37s;503;[[15, 16, 13, 7, 17, 9, 14, 8, 12, 11, 10, 23, 18], [19, 6, 1, 24, 25, 29, 27, 28, 26], [20, 3, 4, 5, 2, 22], [21]]
0.37s;503;[[15, 16, 13, 7, 17, 9, 14, 8, 12, 11, 10, 23, 18], [19, 6, 1, 24, 25, 29, 27, 28, 26], [20, 3, 4, 5, 2, 22], [21]]

avg_time;avg_ans;best;worst
0.41s;503.00;503;503
