elapsed;fitness;solution
0.66s;216;[[1, 10, 2, 7, 9, 16, 14, 5, 19], [4, 11, 15, 12, 3, 18, 17, 8, 13, 6]]
0.30s;216;[[1, 10, 2, 7, 9, 16, 14, 5, 19], [4, 11, 15, 12, 3, 18, 17, 8, 13, 6]]
0.20s;216;[[1, 10, 2, 7, 9, 16, 14, 5, 19], [4, 11, 15, 12, 3, 18, 17, 8, 13, 6]]
0.16s;216;[[1, 10, 2, 7, 9, 16, 14, 5, 19], [4, 11, 15, 12, 3, 18, 17, 8, 13, 6]]
0.15s;216;[[1, 10, 2, 7, 9, 16, 14, 5, 19], [4, 11, 15, 12, 3, 18, 17, 8, 13, 6]]
0.15s;216;[[1, 10, 2, 7, 9, 16, 14, 5, 19], [4, 11, 15, 12, 3, 18, 17, 8, 13, 6]]
0.15s;216;[[1, 10, 2, 7, 9, 16, 14, 5, 19], [4, 11, 15, 12, 3, 18, 17, 8, 13, 6]]
0.13s;216;[[1, 10, 2, 7, 9, 16, 14, 5, 19], [4, 11, 15, 12, 3, 18, 17, 8, 13, 6]]
0.14s;216;[[1, 10, 2, 7, 9, 16, 14, 5, 19], [4, 11, 15, 12, 3, 18, 17, 8, 13, 6]]
0.15s;216;[[1, 10, 2, 7, 9, 16, 14, 5, 19], [4, 11, 15, 12, 3, 18, 17, 8, 13, 6]]
0.14s;216;[[1, 10, 2, 7, 9, 16, 14, 5, 19], [4, 11, 15, 12, 3, 18, 17, 8, 13, 6]]
0.13s;216;[[1, 10, 2, 7, 9, 16, 14, 5, 19], [4, 11, 15, 12, 3, 18, 17, 8, 13, 6]]
0.15s;216;[[1, 10, 2, 7, 9, 16, 14, 5, 19], [4, 11, 15, 12, 3, 18, 17, 8, 13, 6]]
0.13s;216;[[1, 10, 2, 7, 9, 16, 14, 5, 19], [4, 11, 15, 12, 3, 18, 17, 8, 13, 6]]
0.13s;216;[[1, 10, 2, 7, 9, 16, 14, 5, 19], [4, 11, 15, 12, 3, 18, 17, 8, 13, 6]]
0.15s;216;[[1, 10, 2, 7, 9, 16, 14, 5, 19], [4, 11, 15, 12, 3, 18, 17, 8, 13, 6]]
0.13s;216;[[1, 10, 2, 7, 9, 16, 14, 5, 19], [4, 11, 15, 12, 3, 18, 17, 8, 13, 6]]
0.13s;216;[[1, 10, 2, 7, 9, 16, 14, 5, 19], [4, 11, 15, 12, 3, 18, 17, 8, 13, 6]]
0.13s;216;[[1, 10, 2, 7, 9, 16, 14, 5, 19], [4, 11, 15, 12, 3, 18, 17, 8, 13, 6]]
0.14s;216;[[1, 10, 2, 7, 9, 16, 14, 5, 19], [4, 11, 15, 12, 3, 18, 17, 8, 13, 6]]

avg_time;avg_ans;best;worst
0.18s;216.00;216;216
